type,run_id,N,threads,cycles,instructions,ipc,cache_refs,cache_misses,miss_rate,l1_misses,l1i_misses,llc_misses
baseline,1,4096,4,32036092966,110197643903,3.4397966075311706,164351840,19349841,0.11773425232111791,88777394,2412811,0
baseline,2,4096,4,31890436616,110409263763,3.4621433720855896,150285289,15913473,0.10588842797514267,78470945,2276322,0
baseline,3,4096,4,31644784963,109865057990,3.4718219168958617,139213913,15513837,0.11143884016822371,68705885,2191879,0
baseline,4,4096,4,31883092105,110409542488,3.462949645046669,162612900,15608844,0.09598773529037365,92637407,2224845,0
baseline,5,4096,4,31501076002,109151628717,3.4650127097268033,335498140,15237592,0.04541781364272243,265245625,2173090,0
baseline,6,4096,4,31464566336,109199514290,3.47055519926426,137366764,15157233,0.11034134137424974,68564026,2219406,0
baseline,7,4096,4,31538244145,109036331413,3.457273363466126,272647814,15900517,0.05831888679657633,141062147,2350488,0
baseline,8,4096,4,31390199258,108795420551,3.4659041077374737,149407675,15028226,0.10058536818808003,76891447,2196722,0
baseline,9,4096,4,32129144722,111474997950,3.4695912049494737,155927998,16440229,0.10543474687592667,82970729,2293974,0
baseline,10,4096,4,32351777206,111362201786,3.4422282608124117,242257737,15474766,0.06387728289561295,171446739,2222796,0
optimized,1,4096,4,49329828,51626075,1.046548854782141,4611859,1055179,0.22879689079826596,1975336,151657,0
optimized,2,4096,4,44382953,51740533,1.1657749091188232,4719730,1027492,0.2177014363109754,2061422,144335,0
optimized,3,4096,4,48080145,51578574,1.072762446951855,4585742,1022764,0.2230313000600557,1985200,136764,0
optimized,4,4096,4,42416848,51692869,1.2186871829797443,4817442,1068415,0.2217805632117626,2087949,147508,0
optimized,5,4096,4,50511998,51493542,1.019431898140319,4681543,1040758,0.22231089194310508,1991864,140499,0
optimized,6,4096,4,49918002,51722832,1.0361558942202855,4720357,1044934,0.2213675787657586,2062889,140101,0
optimized,7,4096,4,46424444,51648025,1.1125179011298445,4749359,1039085,0.21878426120240646,2073408,143511,0
optimized,8,4096,4,41573632,51597412,1.2411090760605183,4733175,1034223,0.21850512605175174,2045470,143840,0
optimized,9,4096,4,43744350,51634782,1.1803760257038909,4739483,1050936,0.22174064133155452,2052896,144845,0
optimized,10,4096,4,41502452,51666396,1.2448998435080414,4723992,1027673,0.21754334046289664,2057409,143756,0
