N,threads,baseline_time,opt_time,speedup
1024,1,0.529052,0.011083,47.7355
1024,2,0.527641,0.007352,71.7684
1024,4,0.525557,0.005130,102.4478
1024,8,0.525110,0.004240,123.8467
1024,12,0.529480,0.003916,135.2094
2048,1,2.242969,0.046497,48.239
2048,2,2.216852,0.026383,84.0258
2048,4,2.273359,0.016866,134.7895
2048,8,2.217620,0.014674,151.1258
2048,12,2.219258,0.012953,171.3316
4096,1,9.430036,0.200567,47.0169
4096,2,9.617093,0.108309,88.7931
4096,4,9.302082,0.073543,126.4849
4096,8,9.380665,0.057194,164.0148
4096,12,9.342215,0.073822,126.5506
